type,times,cost
1,0,20
1,1,20
1,2,20
1,3,20
1,4,40
1,5,40
1,6,40
1,7,40
1,8,100
1,9,100
1,10,100
1,11,200
1,12,200
1,13,200
1,14,300
1,15,300
1,16,300
1,17,300
1,18,300
1,19,300
1,20,300
1,21,300
1,22,300
1,23,300
1,24,300
1,25,300
1,26,300
1,27,300
1,28,300
1,29,300
1,30,300
1,31,300
1,32,300
1,33,300
1,34,300
1,35,300
1,36,300
1,37,300
1,38,300
1,39,300
1,40,300
1,41,300
1,42,300
1,43,300
1,44,300
1,45,300
1,46,300
1,47,300
1,48,300
1,49,300
1,50,300
2,0,50
2,1,50
2,2,100
2,3,100
2,4,200
2,5,200
2,6,300
2,7,300
2,8,400
2,9,400
